"","Order","Family","Genus_V_1.2","Species_V_1.2","TaxonID","Bin.","Synonyms.","Mass_g","WoS.Hits","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"59","CARNIVORA","Herpestidae","Atilax","paludinosus",2588,"Atilax_paludinosus","","3300",7,1,1,"1",0,1,1,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"60","CARNIVORA","Canidae","Canis","rufus",420,"Canis_rufus","","22983.2",8,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"63","CARNIVORA","Mustelidae","Taxidea","taxus",4259,"Taxidea_taxus","Pseudolopex vetulus","7107.6",6,1,1,"1",2,2,0,2,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"64","CARNIVORA","Hyaenidae","Parahyaena","brunnea",2820,"Parahyaena_brunnea","","32200.3",6,1,1,"1",0,0,2,2,2,0,2,0,0,2,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"65","CARNIVORA","Herpestidae","Cynictis","penicillata",2600,"Cynictis_penicillata","","836",6,1,1,"1",1,1,0,1,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"66","CARNIVORA","Felidae","Leopardus","wiedii",2437,"Leopardus_wiedii","Hyaena brunnea","3250",8,1,1,"1",2,0,0,0,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"67","CARNIVORA","Viverridae","Paradoxurus","hermaphroditus",6841,"Paradoxurus_hermaphroditus","","3156.7",6,1,1,"1",0,0,0,2,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"68","CARNIVORA","Canidae","Lycalopex","vetulus",442,"Lycalopex_vetulus","","5350",6,1,1,"1",1,0,0,1,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"69","CARNIVORA","Felidae","Leopardus","colocolo",2431,"Leopardus_colocolo","Pseudolopex griseus","3935",4,1,1,"1",1,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"70","CARNIVORA","Mustelidae","Mustela","sibirica",4248,"Mustela_sibirica","","405",5,1,1,"1",2,2,2,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"71","CARNIVORA","Mustelidae","Martes","flavigula",4215,"Martes_flavigula","","1842.5",4,1,1,"1",0,1,0,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"72","CARNIVORA","Felidae","Leopardus","tigrinus",2436,"Leopardus_tigrinus","","2250",4,1,1,"1",1,1,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"73","CARNIVORA","Canidae","Lycalopex","griseus",439,"Lycalopex_griseus","","8280",5,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"74","CARNIVORA","Viverridae","Civettictis","civetta",6814,"Civettictis_civetta","","12000",4,1,1,"1",1,1,0,1,1,0,1,0,0,0,0,0,1,"",NA,"",NA,NA,NA,NA,NA,""
"76","CARNIVORA","Felidae","Neofelis","nebulosa",2447,"Neofelis_nebulosa","","20500",3,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"77","CARNIVORA","Mustelidae","Eira","barbara",4189,"Eira_barbara","","3910",3,1,1,"1",2,0,0,0,2,0,2,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
"78","CARNIVORA","Procyonidae","Bassariscus","astutus",4968,"Bassariscus_astutus","","1129.5",3,1,1,"1",1,0,0,1,1,0,1,0,0,0,0,0,0,"",NA,"",NA,NA,NA,NA,NA,""
