,PrimaryRef,long,lat,Coordinates.Source,Longitude,Latitude,Potential error,,,,,
138,"Golightly, R.T., Penland, T.F., Zielinski, W.J. & Higley, J.M. (2006). Fisher diet in the Klamath/North Coast bioregion. Unpublished report, Department of Wildlife, Humboldt State University, Arcata, California.",-124.5249,41.524859,GoogleMaps,,,,,,,,
139,"Grenfell, William E., and Maurice Fasenfest. ""Winter food habits of fisher (Martes pennanti) in northwestern California.""·California Fish and Game·65.3 (1979): 186-189.",-119.7273,36.2726,GoogleMaps,,,,,,,,
140,"Hamilton, W. J., Arthur H. Cook, and W. F. Hamilton. ""The biology and management of the fisher in New York.""·New York Fish and Game Journal·2.1 (1955): 13-35.",-73.9879,40.6916,GoogleMaps,,,,,,,,
141,"Jones, J.L. (1991). Habitat use of fishers in northcentral Idaho. Master∆s Thesis, University of Idaho",-114.251,43.3833,GoogleMaps,,,,,,,,
142,"McNeil Jr, Darin J., et al. ""Diets of Fishers (Pekania pennanti) and Evidence of Intraspecific Consumption in Pennsylvania.""·The American Midland Naturalist·177.2 (2017): 200-210.",77.8031,40.8752,Reported,77.8031,40.8752,Typo in paper - should be West,,,-77.8031,40.8752,
143,"Powell, Roger Allen. ""Hunting behavior, ecological energetics and predator-prey community."" (1977).",0,0,NA,NA,NA,,,,NA,NA,
149,"Elmeros, M. (2006). Food habits of stoatsMustela erminea and weaselsMustela nivalis in Denmark.·Acta theriologica,·51(2), 179-186.",10.1102,55.5227,GoogleMaps,,,,,,,,
150,"Strang, Kathryn, et al. ""The diet of weasels (Mustela nivalis vulgaris) from Purerua Peninsula, Bay of Islands, New Zealand.""†New Zealand Journal of Zoology†45.1 (2018): 83-90.",174.0671333,-35.163625,Reported,174∞04?01.68?? E,35∞09?49.05?? S,Introduced range.,,,,,
151,"Crego, Ramiro D., Jaime E. Jim?nez, and Ricardo Rozzi. ""A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas.""·Biological invasions·18.7 (2016): 1923-1938.",-68,-55,Reported,68∞W,55'S,Introduced range.,,,,,
152,"Fasola, Laura, et al. ""Range expansion and prey use of American mink in Argentinean Patagonia: dilemmas for conservation.""·European Journal of Wildlife Research·57.2 (2011): 283-294.",0,46.86666667,Reported,Andean Patagonian Forest,38∞52? S - 54∞52? S,Introduced range.,,,NA,46.86666667,
